Brand,Model,RAM,Memory,Battery Capacity,Item Weight,Price,Screen Size,Sales based on Ratings
DOOGEE,N50,15 GB,15 GB,4200 Amp Hours,7 ounces,$129.99,6.52 Inches,802
UMIDIGI,A15C,8 GB,128 GB,5000 Milliamp Hours,6.9 ounces,$149.99,6.7 Inches,48
Lively,5007SJBS3,3 GB,32 GB,3500 Milliamp Hours,1.75 ounces,$74.99,6.22 Inches,1330
Samsung,A54,8 GB,256 GB,5000 Milliamp Hours,0.106 ounces,$367.45,6.4 Inches,22
TCL,,4 GB,128 GB,5000 Milliamp Hours,6.88 Ounces,$139.99,6.75 Inches,313
Samsung Electronics,Samsung Galaxy A42 5G,4 GB,128 GB,5000 Milliamp Hours,0.176 ounces,,6.6 Inches,267
A SLICE RED,,,256 GB,,15.5 ounces,$158.99,6.82 Inches,2
ALCATEL,TVALT602DCP,3 GB,32 GB,3 Milliamp Hours,12.8 ounces,$39.88,6.1 Inches,264
Xiaomi,,,128 GB,4000 Milliamp Hours,15.4 ounces,$199.99,,
Samsung,,4 GB,64 GB,5000 Milliamp Hours,6.9 ounces,,6.6 Inches,39
Yealink,WH62 Mono Teams,,,,1.46 pounds,$175.90,,426
SEAZOU,LTE-A,,,,2.88 pounds,$85.00,,
Ulefone,,16 GB,256 GB,4400 Milliamp Hours,6.5 ounces,$139.99,6.52 Inches,32
Samsung,SM-F731ULIAXAA,8 GB,256 GB,3700,187 Grams,$899.99,6.7 Inches,17
CAT,S22 Flip,2 GB,16 GB,2000 Milliamp Hours,7.9 ounces,$66.49,2.8 Inches,409
Samsung,SM-G998U Samsung Galaxy S21 Ultra 5G,12 GB,128 GB,5000 Milliamp Hours,8.01 Ounces,,6.8 Inches,994
Nokia,TA-1393,128 MB,,1020,2.82 ounces,$34.99,1.8 Inches,33
Samsung,SM-A716U,6 GB,128 GB,,0.176 ounces,,6.7 Inches,376
BDWJW,,,256 GB,,1 pounds,$188.88,6.8 Inches,1
OnePlus,DE2117,4 GB,64 GB,5000 Milliamp Hours,0.01 Pounds,$169.99,6.49 Inches,2251
VICSEED,,,,,10.5 ounces,$32.99,,73
MAXTOP,,,,,7.4 ounces,$28.99,,1
"Shenzhen Juzhengxin Technology Co.,Ltd.",SD28-pink,,,,1.28 pounds,$49.99,,119
SEAZOU,LTE-A,,,,2.88 pounds,$85.00,,
SAMSUNG,Galaxy S10+,8 GB,128 GB,4100 Milliamp Hours,0.023 ounces,,6.4 Inches,17277
Samsung,,6 GB,128 GB,5000 Milliamp Hours,6.7 ounces,,6.5 Inches,192
Samsung,Samsung Galaxy S22 5G,8 GB,8 GB,3700 Milliamp Hours,0.145 ounces,,6.1 Inches,2120
DOOGEE,N50,15 GB,15 GB,4200 Amp Hours,7 ounces,$129.99,6.52 Inches,802
UMIDIGI,A15C,8 GB,128 GB,5000 Milliamp Hours,6.9 ounces,$149.99,6.7 Inches,48
TCL,,4 GB,128 GB,5000 Milliamp Hours,6.88 Ounces,$139.99,6.75 Inches,313
Samsung,A54,8 GB,256 GB,5000 Milliamp Hours,0.106 ounces,$367.45,6.4 Inches,22
TCL,,3 GB,32 GB,3000 Milliamp Hours,6.1 ounces,$99.99,6 Inches,2611
Google,PIXEL 7a (5G) 128GB,,128 GB,,6.9 ounces,,6.1 Inches,9
Google,GD1YQ,8 GB,64 GB,4080 Milliamp Hours,5.3 ounces,,6 Inches,1950
Yoidesu,,,4 GB,2200 Milliamp Hours,12 ounces,$54.13,4.5 Inches,1
VIQEE,,6 GB,256 GB,5800 Milliamp Hours,13.4 ounces,$129.95,6.8 Inches,
DOOGEE,N50,15 GB,15 GB,4200 Amp Hours,7 ounces,$129.99,6.52 Inches,802
Hilitand,,,4 GB,1800 Milliamp Hours,11.1 ounces,$55.58,5.7 Inches,8
FindChic,FIO23446-80-OEMFC-USF,,,,,$14.99,,69
Samsung,Galaxy A13,3 GB,32 GB,5000 Milliamp Hours,0.106 ounces,,6.6 Inches,221
ZTE,MAIN-90127,2 GB,16 GB,2500 Milliamp Hours,5.3 ounces,$44.49,5 Inches,1179
Motorola,PAXD0011US,6 GB,4 GB,5000,189 Grams,$199.99,6.5 Inches,59
Nokia,TA-1393,128 MB,,1020,2.82 ounces,$34.99,1.8 Inches,33
Samsung,SM-A135UZKDXAA,3 GB,32 GB,5000 Milliamp Hours,195 Grams,$157.20,6.6 Inches,301
Samsung,SM-J327A-cr,,16 GB,2600 Milliamp Hours,0.023 ounces,,5.5 Inches,844
BLU,SG_B07MZDNBDJ_US,32 MB,32 GB,600 Milliamp Hours,4.2 ounces,$22.99,1.8 Inches,3024
Samsung,SM-G781U,6 GB,128 GB,4500 Milliamp Hours,5 ounces,,6.5 Inches,5068
Yealink,BH71 OB,,,,4.9 ounces,$79.90,,59
Lintratek,,,,,6.74 pounds,$229.99,,
"Shenzhen Juzhengxin Technology Co.,Ltd.",SD28-pink,,,,1.28 pounds,$49.99,,119
Assistive Technology Services,sa911fd,,,,8.4 ounces,$179.77,,72
Ulefone,,16 GB,128 GB,4400 Milliamp Hours,6.5 ounces,$129.99,6.52 Inches,49
Ulefone,Ulefone Armor X6 Pro,4 GB,32 GB,4000 Milliamp Hours,0.141 ounces,$119.99,5 Inches,56
SAMSUNG,S146VL,4 GB,64 GB,5000,12.8 ounces,$89.99,6.5 Inches,6
DOOGEE,N50,15 GB,15 GB,4200 Amp Hours,7 ounces,$129.99,6.52 Inches,802
UMIDIGI,A15C,8 GB,128 GB,5000 Milliamp Hours,6.9 ounces,$149.99,6.7 Inches,48
TCL,,4 GB,128 GB,5000 Milliamp Hours,6.88 Ounces,$139.99,6.75 Inches,313
Samsung,A54,8 GB,256 GB,5000 Milliamp Hours,0.106 ounces,$367.45,6.4 Inches,22
TCL,,3 GB,32 GB,3000 Milliamp Hours,6.1 ounces,$99.99,6 Inches,2611
Apple Computer,A1901,,256 GB,,9.5 ounces,,5.9 Inches,23825
Dialn,X65,,65 GB,4500 Milliamp Hours,6.7 ounces,$47.99,6.5 Inches,1
Samsung,Samsung Galaxy S21 FE 5G,6 GB,128 GB,4500 Milliamp Hours,6.7 ounces,,6.4 Inches,816
Samsung,SAMSUNG A34,8 GB,256 GB,5000 Milliamp Hours,11.3 ounces,$269.50,6.6 Inches,84
UMIDIGI,BISON-X10B,4 GB,4 GB,6150 Milliamp Hours,2.2 pounds,$111.99,6.53 Inches,376
TCL,,4 GB,128 GB,5000 Milliamp Hours,6.88 Ounces,$139.99,6.75 Inches,313
"Shen Zhen Yixun Electronic Technology Co., Ltd",T300,64 MB,16 GB,1500 Milliamp Hours,4 ounces,$89.99,2.4 Inches,122
,,,,,,,,16
Samsung,SM-A346M/DSN,6 GB,128 GB,5000 Milliamp Hours,7 ounces,$259.99,6.6 Inches,73
Apple Computer,A2275,3 GB,64 GB,,10.9 ounces,,4.7 Inches,13861
Samsung,SM-A037UZKDXAA,3 GB,32 GB,5 Milliamp Hours,7 ounces,$159.99,6.5 Inches,748
henghongshangmao,ip14pro-6.7,2 GB,16 GB,5000 Milliamp Hours,0.071 ounces,$89.99,6.7 Inches,57
Samsung,,4 GB,64 GB,5000 Milliamp Hours,0.176 ounces,,6.6 Inches,3
UMIDIGI,G1 MAX,6 GB,128 GB,5150 Milliamp Hours,6.8 ounces,$93.49,6.52 Inches,380
Xiaomi,12C,4 GB,128 GB,5000 Milliamp Hours,6 ounces,$109.49,6.71 Inches,4101
VICSEED,,,,,10.5 ounces,$32.99,,73
UMIDIGI,A15C,8 GB,128 GB,5000 Milliamp Hours,6.9 ounces,$149.99,6.7 Inches,48
Assistive Technology Services,sa911fd,,,,8.4 ounces,$179.77,,72
"Shenzhen Juzhengxin Technology Co.,Ltd.",SD28-pink,,,,1.28 pounds,$49.99,,119
NUU,,,,5000 Milliamp Hours,,,,
Samsung,SAMSUNG A34,8 GB,256 GB,5000 Milliamp Hours,11.3 ounces,$269.50,6.6 Inches,84
BLU,T276T Black Red,,32 GB,,3.2 ounces,$26.99,2.8 Inches,259
DOOGEE,N50,15 GB,15 GB,4200 Amp Hours,7 ounces,$129.99,6.52 Inches,802
